id V delta X.3 W1.1 W1.2 W2.1 W2.2
1 0.2854 0 0  5.1230 4.4524  0.3399 -0.5072
2 0.1087 1 0  1.8952 1.6561  1.1802  1.2230
3 0.0093 1 1  1.1386 NA      0.0664  0.9183
4 0.5807 0 0  2.6655 2.5668  0.8049  1.9126
5 0.7405 0 1  2.0298 2.2768  0.8621  1.3454
6 0.2279 1 0  3.7866 2.9837  0.2214 -0.6806
7 0.8126 0 0  1.7211 1.8917  1.6998  2.5345
8 0.7472 0 0  2.0718 3.0492  1.7430  1.5119
9 0.9157 0 1  3.7148 4.5063  0.6246  0.8448
10 0.2706 0 0  3.2970 3.1096  1.4185  1.5048
11 0.2863 1 0  1.3495 1.9517  0.9993  0.0982
12 0.8227 0 0  0.7355 0.9354  3.5029  3.6567
13 0.7011 0 0  2.4017 NA  1.8762  1.5888
14 0.3605 1 0  1.7823 1.8004  0.4894  0.5280
15 0.0946 0 1  4.3458 3.7934  0.5351 -0.0153
16 0.1342 1 0  0.9287 1.2447  0.8799  0.2560
17 0.0196 0 0  0.9285 1.5609  1.4688  1.8725
18 0.8571 0 0  3.6566 3.6609  0.5821  1.1463
19 0.1774 0 1  1.4652 2.1448  2.7223  3.5487
20 0.8445 0 1  1.1112 1.9435  3.4447  3.3879
21 0.2598 1 0  1.5506 1.6358  1.5718  1.6480
22 0.2262 0 0  NA     2.4754  2.2396  2.6807
23 0.2222 1 0  2.0084 2.2006  0.9414  0.7203
24 0.2348 1 1  1.5113 1.7047  1.1434  0.6187
25 0.7213 0 0  1.2305 1.9410  1.9690  2.2433
26 0.3441 0 1  2.4683 2.0894  1.5897  1.6843
27 0.4376 1 1  1.6135 2.4897  1.6428  2.2842
28 0.5253 0 1  2.2100 2.4303  0.3077  0.8795
29 0.1595 1 1  1.3702 NA      0.0137 -0.1449
30 0.3739 0 1  0.4177 1.1064  1.8113  2.9362
31 0.1597 0 1  1.6834 0.9826  0.5649 -0.6480
32 0.1216 1 1  1.1274 1.2120 -1.0164 -1.8584
33 0.3372 0 0  1.7767 1.9114  1.7909  2.6462
34 0.8027 0 1  2.7645 2.2660  1.2842  0.6443
35 0.5332 0 1  1.5771 1.8778  1.0291  0.8332
36 0.1671 0 1  1.4057 0.6263  2.3414  1.9758
37 0.4254 0 0  4.0619 4.3651  1.1201  2.2477
38 0.7387 0 0  2.9397 2.4240  0.6169  0.3916
39 0.5140 0 1  NA     4.4388  1.7782  2.5176
40 0.0746 1 0  2.3881 1.0162  0.2745 -0.8009
41 0.0557 1 0  1.3153 1.2982  1.6375  1.7564
42 0.2303 0 1  1.5149 1.5696  1.5027  1.8920
43 0.0455 0 0  2.2089 2.9116  0.4489  1.4569
44 0.5766 0 0  3.3522 4.4179  1.9229  3.7541
45 0.3873 0 1  1.5738 1.9468  0.4475  1.7492
46 0.1453 0 1  2.0030 1.3808  3.5392  3.6245
47 0.0324 0 0  3.2145 3.4775  0.9909  0.7667
48 0.0620 1 1  1.0052 1.8327 -0.5502 -1.0889
49 0.4327 0 1  1.3508 2.0281  1.2028  0.8210
50 0.1177 0 1  1.2796 1.4382  0.0628 -0.7474
51 0.2434 0 1  2.4643 3.1974  1.2920  0.8249
52 0.8741 0 1  2.4640 2.3091  1.1450  0.8072
53 0.3093 1 0  1.9393 1.1765  2.1182  1.1836
54 0.0959 0 1  1.6057 1.3587  0.1279 -0.2786
55 0.5975 0 0  2.3703 4.0142  0.3756  1.4780
56 0.5574 0 0  1.3997 1.5642  1.6963  0.8571
57 0.6934 1 1  2.0969 1.6551  0.9284 -0.0854
58 0.4071 0 1  2.6487 1.9382  1.6034  2.3105
59 0.1841 1 0  3.5523 2.8222  1.6850  1.5730
60 0.3170 0 1  1.7181 1.8435  2.5490  1.6579
61 0.3309 1 1  2.2287 2.3261 -1.5682 -1.3302
62 0.5939 0 1  1.9002 2.1151 -0.1000 -0.1807
63 0.3820 1 0  2.1123 0.3306  2.2677  1.4317
64 0.1769 1 0  0.8905 1.2689 -0.0017  0.5483
65 0.8780 0 0  1.1093 1.2197  2.7196  3.2883
66 0.0477 1 0  0.5052 1.6370 -0.5281  0.1657
67 0.2247 1 0  1.8840 2.3364  0.1692  1.1878
68 0.1107 1 0  2.1572 2.5871  1.1573  1.1782
69 0.0695 1 0  2.0968 0.7747  1.1050  0.0033
70 0.5079 1 1  0.7109 1.0263  0.0416 -0.1107
71 0.8838 0 1  1.0513 0.5495  2.3921  1.8531
72 0.0192 0 1  1.6080 0.8455  0.2122 -0.4593
73 0.0796 1 0  3.4759 2.5554 -0.7070 -1.2278
74 0.0027 0 1  1.2492 1.7678  2.3678  2.0437
75 0.0993 1 1  1.1924 1.9048 -0.7317  0.0681
76 0.5832 0 0  1.2033 0.8394  1.8753  1.8269
77 0.7465 0 1  2.3130 2.5748  3.6854  3.6058
78 0.3410 1 0  1.5066 1.0944  1.3035  0.5677
79 0.2226 0 0  0.4501 1.0665  3.1004  2.7190
80 0.5079 0 0  1.1386 2.0265  1.0971  0.9498
81 0.2078 1 0  1.3358 1.4723  0.9705  1.0107
82 0.3476 0 0  3.4617 3.1715  1.7615  1.3944
83 0.4242 0 0  1.6885 1.5844  1.6038  0.9085
84 0.1307 1 0  1.4546 1.7467  0.5976  0.6971
85 0.2620 0 0  1.5665 1.1373  1.1966  0.8948
86 0.4530 1 1  1.8451 0.7371  2.5304  1.0779
87 0.0878 0 1  3.1328 2.3391  1.7628  0.6699
